dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,constraint_type,foreign_table_schema,foreign_table_name,foreign_column_name
postgresql,mcms,public,issues,status,11,character varying,20,,,,
postgresql,mcms,public,issues,created_at,14,timestamp with time zone,,,,,
postgresql,mcms,public,users,password_reset_expires,13,timestamp with time zone,,,,,
postgresql,mcms,public,users,password_reset_token,14,character varying,100,,,,
postgresql,mcms,public,assets,last_maintenance_at,15,date,,,,,
postgresql,mcms,public,daily_logs,rejection_reason,16,text,,,,,
postgresql,mcms,public,daily_logs,status,17,USER-DEFINED,,,,,
postgresql,mcms,public,daily_logs,task_id,18,integer,,FOREIGN KEY,public,tasks,id
postgresql,mcms,public,projects,client,13,character varying,255,,,,
postgresql,mcms,public,projects,lat,14,numeric,,,,,
postgresql,mcms,public,projects,lng,15,numeric,,,,,
postgresql,mcms,public,projects,project_type,16,USER-DEFINED,,,,,
postgresql,mcms,public,projects,radius,17,integer,,,,,
postgresql,mcms,public,users,must_change_email,15,boolean,,,,,
postgresql,mcms,public,users,must_change_password,16,boolean,,,,,
postgresql,mcms,public,users,status_reason,17,text,,,,,
postgresql,mcms,public,maintenance_records,asset_id,2,integer,,FOREIGN KEY,public,assets,id
postgresql,mcms,public,maintenance_records,service_date,3,date,,,,,
postgresql,mcms,public,maintenance_records,provider,5,character varying,255,,,,
postgresql,mcms,public,maintenance_records,cost,6,numeric,,,,,
postgresql,mcms,public,maintenance_records,description,7,text,,,,,
postgresql,mcms,public,maintenance_records,next_service_date,8,date,,,,,
postgresql,mcms,public,maintenance_records,updated_at,10,timestamp with time zone,,,,,
postgresql,mcms,public,maintenance_records,id,1,integer,,PRIMARY KEY,,,
postgresql,mcms,public,maintenance_records,type,4,USER-DEFINED,,,,,
postgresql,mcms,public,maintenance_records,created_at,9,timestamp with time zone,,,,,
postgresql,mcms,public,projects,suspension_reason,18,text,,,,,
postgresql,mcms,public,projects,status,19,character varying,20,,,,
postgresql,mcms,public,contracts,vendor_name,13,character varying,255,,,,
postgresql,mcms,public,requisitions,created_at,13,timestamp without time zone,,,,,
postgresql,mcms,public,requisitions,updated_at,14,timestamp without time zone,,,,,
postgresql,mcms,public,requisitions,rejection_reason,15,text,,,,,
postgresql,mcms,public,requisitions,vendor_name,16,character varying,255,,,,
postgresql,mcms,public,requisitions,project_id,3,integer,,FOREIGN KEY,public,projects,id
postgresql,mcms,public,requisitions,submitted_by,5,integer,,FOREIGN KEY,public,users,id
